class_id,glcm_contrast,glcm_dissimilarity,glcm_homogeneity,glcm_energy,glcm_correlation,glcm_entropy,fractal_dim,foreground_ratio,sym_lr,sym_tb,sym_axis_shift,sym_axis_corr,sym_bilateral_texture_corr,color_h_bin0,color_h_bin1,color_h_bin2,color_h_bin3,color_h_bin4,color_h_bin5,color_h_bin6,color_h_bin7,color_h_mean,color_h_std,color_s_bin0,color_s_bin1,color_s_bin2,color_s_bin3,color_s_bin4,color_s_bin5,color_s_bin6,color_s_bin7,color_s_mean,color_s_std,color_v_bin0,color_v_bin1,color_v_bin2,color_v_bin3,color_v_bin4,color_v_bin5,color_v_bin6,color_v_bin7,color_v_mean,color_v_std,shape_area,shape_perimeter,shape_circularity,shape_aspect_ratio,shape_solidity,shape_extent,cub_name,scientific_name,Sequence,Species1,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
11,9.269151908592898,1.6004436463420624,0.5806060014875178,0.008361814718892895,0.9245432576812437,5.345485077503611,1.7662783918281473,0.45220947265625,0.1349847641864058,0.08947785087360387,-0.8,0.1329795158614655,0.9814498967980867,0.67176513671875,0.0875396728515625,0.0721435546875,0.1438507080078125,0.011785888671875,0.0129150390625,0.0,0.0,39.81312561035156,33.41105154663318,0.35751953125,0.251080322265625,0.2150665283203125,0.0885772705078125,0.032086181640625,0.0178863525390625,0.01297607421875,0.0248077392578125,60.56646728515625,43.694851267360775,0.0607696533203125,0.132574462890625,0.1490936279296875,0.14803466796875,0.1435150146484375,0.1379638671875,0.11236572265625,0.1156829833984375,132.11732788085936,66.81098307155197,14950.6,1550.5792622089386,0.13453972257593125,1.1203349801915337,0.6403153220912652,0.42550578990738075,Rusty_Blackbird,Euphagus carolinus,10533.0,Euphagus carolinus,Icteridae,Passeriformes,AVIBASE-5F77FED5,9.0,4.0,5.0,0.0,4.0,23.0,15.3,5.0,6.6,30.2,114.4,32.1,82.6,28.0,90.0,59.57,Dunning,,NO,,,Forest,2.0,3.0,Omnivore,Omnivore,Terrestrial,42.42,69.61,57.69,-110.48,7275943.03
12,5.515587985854973,1.0733323217114688,0.6842820458518514,0.019156569740859396,0.960371828353287,4.81252282928084,1.7701240356180423,0.4894805908203125,0.19774236729812938,0.22961439868838812,-6.4,0.18619390120158935,0.9778284024182013,0.534417724609375,0.22862548828125,0.0614410400390625,0.161602783203125,0.008587646484375,0.0053253173828125,0.0,0.0,45.023129272460935,24.77442723872744,0.19295654296875,0.19658203125,0.2731414794921875,0.2009735107421875,0.0479736328125,0.0278411865234375,0.030828857421875,0.0297027587890625,81.57907409667969,50.68453738598707,0.1034942626953125,0.1048431396484375,0.0859222412109375,0.0871002197265625,0.1594818115234375,0.1907196044921875,0.12164306640625,0.146795654296875,140.76549072265624,69.0541575517606,19082.1,1162.639082312584,0.16524723817585935,1.1989623990218043,0.7048045303434337,0.48462591767082214,Yellow_headed_Blackbird,Xanthocephalus xanthocephalus,10448.0,Xanthocephalus xanthocephalus,Icteridae,Passeriformes,AVIBASE-3E2D0C9B,5.0,2.0,3.0,0.0,4.0,22.5,14.6,6.6,9.1,32.9,129.4,34.2,92.6,27.0,101.9,62.68,Dunning,,NO,,,Wetland,2.0,2.0,Herbivore,Granivore,Terrestrial,31.47,59.17,46.37,-108.09,4756494.14
13,5.503299408320676,0.9309418130083978,0.7574003983560859,0.051207436162299926,0.9528825864699538,4.245051806342529,1.8004100598232484,0.5481964111328125,0.18060700140360353,0.2730620252855364,0.0,0.13405077003793067,0.983771111341302,0.311358642578125,0.5012664794921875,0.0287872314453125,0.1365814208984375,0.00806884765625,0.0139373779296875,0.0,0.0,46.602667236328124,25.802668413921605,0.12110595703125,0.154461669921875,0.3990631103515625,0.1665313720703125,0.100213623046875,0.018096923828125,0.017889404296875,0.022637939453125,86.36148071289062,39.67648741143991,0.1459716796875,0.0975250244140625,0.0674346923828125,0.0856170654296875,0.2805389404296875,0.161883544921875,0.038653564453125,0.12237548828125,129.21236877441407,66.74356535711959,45478.3,1700.479109954834,0.3774588405703785,1.1390728476821192,0.799117612308953,0.7463178622012107,Bobolink,Dolichonyx oryzivorus,10449.0,Dolichonyx oryzivorus,Icteridae,Passeriformes,AVIBASE-F845062F,5.0,2.0,3.0,0.0,4.0,16.2,9.8,5.9,7.6,26.5,90.2,32.0,58.5,35.4,61.8,31.46,Dunning,,NO,,,Grassland,1.0,3.0,Omnivore,Granivore,Generalist,32.38,54.24,45.77,-93.09,3883605.76
14,8.088774790816895,1.375187530160691,0.6406737660458336,0.01546462257017188,0.925770293090537,4.988806527061833,1.7294738104817096,0.3934539794921875,0.09181078161699188,0.07315118285752657,-19.2,0.07294224494419484,0.9935984430327286,0.3664154052734375,0.298431396484375,0.060113525390625,0.24703369140625,0.0149749755859375,0.013031005859375,0.0,0.0,55.61974182128906,36.33843081227651,0.10433349609375,0.1348663330078125,0.1864990234375,0.2589111328125,0.1646026611328125,0.0820953369140625,0.0301422119140625,0.0385498046875,105.21031188964844,51.54843495878629,0.0337005615234375,0.10675048828125,0.175390625,0.1624908447265625,0.1704010009765625,0.1570220947265625,0.103070068359375,0.09117431640625,133.17475280761718,59.664640454845504,20101.3,2358.4577111005783,0.06309911818456329,0.8981034881401422,0.4630040498635351,0.3605757283031589,Indigo_Bunting,Passerina cyanea,10711.0,Passerina cyanea,Cardinalidae,Passeriformes,AVIBASE-043F337A,31.0,15.0,16.0,0.0,15.0,11.7,7.6,5.1,6.2,17.2,64.8,14.7,50.3,22.5,48.9,14.69,Dunning,,NO,,,Shrubland,2.0,3.0,Herbivore,Granivore,Terrestrial,24.53,52.55,39.21,-91.56,5700834.65
15,6.382982088723826,1.1763185441055377,0.6734661798173107,0.02095116356338871,0.9228051974997605,4.822240960676615,1.7242065351652456,0.41363525390625,0.043315321309792,-0.01968753655914414,-22.6,0.03113053600897071,0.9143269357184829,0.333807373046875,0.407135009765625,0.041455078125,0.17158203125,0.0231231689453125,0.0228973388671875,0.0,0.0,51.43082275390625,36.807026387804704,0.1306365966796875,0.1787506103515625,0.274053955078125,0.1861541748046875,0.11212158203125,0.0434600830078125,0.023876953125,0.050946044921875,94.37995300292968,55.56704257332503,0.0278076171875,0.10831298828125,0.1312255859375,0.20020751953125,0.2061309814453125,0.1672576904296875,0.100927734375,0.0581298828125,131.91347961425782,52.92061036016613,16105.3,1157.3976939439774,0.17546327060208997,1.1277394299860914,0.6458426888664349,0.40285609418304213,Lazuli_Bunting,Passerina amoena,10713.0,Passerina amoena,Cardinalidae,Passeriformes,AVIBASE-9F67F3AF,18.0,7.0,11.0,0.0,11.0,11.8,7.3,4.8,6.1,16.8,70.4,16.5,53.9,23.4,54.2,15.49,Dunning,,NO,,,Shrubland,2.0,3.0,Herbivore,Omnivore,Insessorial,29.61,52.0,43.16,-112.04,2824052.43
16,7.511531585049153,1.327716514241948,0.6333949483219126,0.014869894213166365,0.9257495985424132,5.001107623703364,1.7029424331099487,0.3782318115234375,0.02395071026099573,-0.003909588849573216,-1.8,0.014384131210322379,0.9765825054887717,0.625909423828125,0.1683837890625,0.0551971435546875,0.0825103759765625,0.0226165771484375,0.0453826904296875,0.0,0.0,41.298028564453126,38.03135992264045,0.134381103515625,0.1632843017578125,0.17999267578125,0.1485382080078125,0.1392547607421875,0.105841064453125,0.07125244140625,0.0574554443359375,108.23198852539062,61.95618948713219,0.0138824462890625,0.09202880859375,0.16036376953125,0.1980712890625,0.1554840087890625,0.1286834716796875,0.112664794921875,0.1388214111328125,141.51626281738282,58.813945706982246,11712.5,1290.1867537736894,0.10848436341868,1.027437385939224,0.5382188180403313,0.3231192310578198,Painted_Bunting,Passerina ciris,10717.0,Passerina ciris,Cardinalidae,Passeriformes,AVIBASE-0BDB87DE,23.0,10.0,12.0,1.0,8.0,11.7,7.6,4.9,6.5,18.8,69.6,15.0,54.1,21.6,52.4,15.54,Dunning,,NO,,,Shrubland,2.0,3.0,Herbivore,Granivore,Terrestrial,25.29,39.1,32.24,-97.06,1410893.89
17,5.375122640837953,0.9962325271683913,0.7127449836298329,0.03337309209510618,0.9464787088806377,4.590527650006831,1.7004004702666111,0.3922149658203125,0.1654512831632206,0.17154957898570022,0.4,0.12437995604082115,0.9722233013135716,0.7067108154296875,0.043780517578125,0.0337158203125,0.1205169677734375,0.034033203125,0.06124267578125,0.0,0.0,41.369467163085936,49.174874401730136,0.1209503173828125,0.20433349609375,0.1601165771484375,0.1300201416015625,0.127618408203125,0.10538330078125,0.1017181396484375,0.049859619140625,108.25877685546875,60.41119354359513,0.0892730712890625,0.1505950927734375,0.091021728515625,0.1131866455078125,0.146185302734375,0.128759765625,0.110601806640625,0.1703765869140625,137.0887664794922,69.81534633119433,19645.8,1550.796091723442,0.1103806354489921,0.8561262729756581,0.5763675797659699,0.4537136517819004,Cardinal,Cardinalis cardinalis,10744.0,Cardinalis cardinalis,Cardinalidae,Passeriformes,AVIBASE-4E74AE22,64.0,24.0,40.0,0.0,8.0,17.6,14.7,9.3,12.3,24.5,93.5,14.2,77.7,15.5,101.8,42.64,Dunning,,NO,,,Shrubland,2.0,1.0,Herbivore,Omnivore,Insessorial,15.65,47.34,34.85,-92.41,5834572.06
18,7.08754216371202,1.3195389295706415,0.641958858657594,0.021020037878312046,0.9279384613301888,4.879006224657072,1.6604733277822163,0.2793609619140625,0.11148002264619583,0.14542788043372473,-6.6,0.04024466911907045,0.9450346982717154,0.48653564453125,0.3175872802734375,0.0963653564453125,0.075787353515625,0.0064453125,0.017279052734375,0.0,0.0,42.79301147460937,23.850064438155563,0.102301025390625,0.1548614501953125,0.3146270751953125,0.1964935302734375,0.120867919921875,0.0619720458984375,0.027593994140625,0.021282958984375,94.38585510253907,45.109373311290575,0.1031097412109375,0.1253692626953125,0.2235687255859375,0.2039764404296875,0.1251007080078125,0.086663818359375,0.068585205078125,0.0636260986328125,110.74705200195312,58.24475712052502,16695.0,1538.2978479385376,0.08691073116497214,1.3110144252904816,0.5344198594804929,0.36942533764440927,Spotted_Catbird,Ailuroedus melanotis,5911.0,Ailuroedus melanotis,Ptilonorhynchidae,Passeriformes,AVIBASE-65B79400,5.0,1.0,2.0,2.0,4.0,37.5,21.0,10.7,16.0,45.8,157.8,32.9,127.4,20.5,115.8,176.89,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Frugivore,Insessorial,-19.47,-0.52,-9.15,143.25,167335.29
19,6.934464927958698,1.161915605384021,0.6911535069758237,0.020820805814521576,0.9078187166466982,4.741217369724213,1.8015199992284514,0.5089630126953125,0.1904872437103144,0.08743578469560145,-12.6,0.1787346109786936,0.9629781368166361,0.20655517578125,0.437127685546875,0.0500030517578125,0.196136474609375,0.0370147705078125,0.073162841796875,0.0,0.0,64.82454223632813,43.00587790634392,0.2414886474609375,0.2374725341796875,0.1861480712890625,0.090972900390625,0.1509918212890625,0.0693267822265625,0.0110443115234375,0.012554931640625,78.41051330566407,44.66785055399596,0.0214141845703125,0.0712890625,0.11505126953125,0.1754302978515625,0.2619293212890625,0.1940277099609375,0.11158447265625,0.049273681640625,138.86813354492188,49.1351975819006,26229.7,1908.9071853876114,0.10894428283577547,1.2549576518691588,0.580719003581034,0.48259289773178027,Gray_Catbird,Dumetella carolinensis,8816.0,Dumetella carolinensis,Mimidae,Passeriformes,AVIBASE-95B77F08,16.0,5.0,5.0,6.0,7.0,19.2,11.1,4.0,4.8,27.4,90.7,16.8,73.4,18.6,90.3,35.3,Dunning,,NO,,,Shrubland,1.0,3.0,Omnivore,Invertivore,Insessorial,28.33,55.06,42.61,-95.25,6824562.12
20,7.821104591464717,1.2904250007201672,0.6607321512938894,0.020202180204092042,0.9332155035739381,4.887452100730888,1.7527530921730665,0.4589691162109375,0.00867784345386778,0.20197421525602718,-2.6,-0.021100701018793695,0.9791986937895862,0.7127593994140625,0.124456787109375,0.0025848388671875,0.132928466796875,0.0103057861328125,0.0169647216796875,0.0,0.0,36.88134765625,23.864525412751135,0.0606475830078125,0.201849365234375,0.2281005859375,0.18690185546875,0.1477996826171875,0.1144073486328125,0.0399505615234375,0.020343017578125,104.33149719238281,46.67998235540808,0.0529388427734375,0.1460601806640625,0.137396240234375,0.1264129638671875,0.125634765625,0.1264495849609375,0.1221954345703125,0.1629119873046875,137.89479064941406,67.086045452261,18775.3,1637.9817013025283,0.18713777258988942,1.3238738619345944,0.605212173790323,0.4351509305297056,Yellow_breasted_Chat,Icteria virens,10447.0,Icteria virens,Icteridae,Passeriformes,AVIBASE-734C73A9,13.0,7.0,5.0,1.0,5.0,16.3,10.5,4.8,6.3,26.1,76.5,16.3,60.5,21.3,71.8,24.89,Dunning,,NO,,,Forest,2.0,1.0,Carnivore,Invertivore,Insessorial,20.9,53.94,38.56,-103.26,6188045.96
21,7.87859619559392,1.3273604086762416,0.6674962183447384,0.024901897831391746,0.9231497393837197,4.839167531354919,1.767630673246984,0.447674560546875,0.18573684247772185,0.08588221088444245,-12.4,0.18253100627732105,0.9837278559638054,0.5485107421875,0.2058380126953125,0.0116485595703125,0.1748565673828125,0.034130859375,0.0250152587890625,0.0,0.0,46.95851135253906,31.94821422942335,0.1597198486328125,0.28914794921875,0.3282989501953125,0.107745361328125,0.05987548828125,0.0326751708984375,0.0117706298828125,0.0107666015625,73.3977783203125,40.18729583503949,0.087164306640625,0.1134124755859375,0.1076416015625,0.1449554443359375,0.2505035400390625,0.155108642578125,0.0692626953125,0.0719512939453125,126.65225830078126,60.33478036552218,27821.8,1771.4028125524521,0.20780784919227308,1.2119820199466216,0.6821949160474456,0.5779851474620903,Eastern_Towhee,Pipilo erythrophthalmus,10360.0,Pipilo erythrophthalmus,Passerellidae,Passeriformes,AVIBASE-6090278A,13.0,6.0,7.0,0.0,8.0,15.4,9.8,5.5,8.2,27.0,82.3,11.1,70.8,13.6,91.7,40.03,Dunning,,NO,,,Forest,2.0,2.0,Herbivore,Omnivore,Generalist,24.53,51.51,39.13,-85.4,3162018.06
